run_index,sample,linker_length,linker_conc,temperature,meansize,msd,1/eta,cbeta,beta,norm_1/eta,norm_cbeta,norm_beta,pc1,pc2,pc3
2,11,5,1,30,6.9040033,1.443730929,0.053299361,0.18637212785013912,0.061830071,0.7763161470635692,-0.477041431,-0.316229458,0.5665797721270314,-0.632348129,0.45755826064595295
2,11,5,1,35,6.9040033,1.443730929,0.099375572,0.1791783775452162,0.10038091221820293,1.1467794864987624,-0.52357086,0.3521320818513275,1.187617985960911,-0.18861188,0.5169291223031723
2,12,5,10,20,8.231447181,1.74806414,0.038257068,0.18581843646900073,0.11710731908301879,0.5791287972864513,-0.480558382,0.6421202329516246,0.9809616446250561,0.12788935922363956,0.001865409
2,12,5,10,25,8.231447181,1.74806414,0.0836751,0.1390732490600764,0.11563064846404178,1.0445186105343223,-0.82307846,0.616518979,1.4439165414707116,-0.160008383,0.1951288557671092
2,12,5,10,30,8.231447181,1.74806414,0.27347364320449735,0.10954493333168708,0.12692806970724357,1.7487545770577413,-1.105192145,0.8123840163782144,2.1393707342771284,-0.266917632,0.5398220797255147
2,12,5,10,35,8.231447181,1.74806414,0.6963311343054495,0.071497443,0.2394714488474634,2.3045370495406843,-1.609538614,2.763564966310905,3.845807103258366,0.859026611,0.10314016088861959
2,13,5,100,20,7.118798566,1.574282293,0.009783402,0.42434710674314113,0.042320079,-0.231775882,0.4955520466321836,-0.654477044,-0.786600958,-0.168323741,0.28382766445705687
2,13,5,100,25,7.118798566,1.574282293,0.030476267406613175,0.26245424696808506,0.041605095089566585,0.44391465661649754,-0.072390602,-0.666872817,-0.060268792,-0.611372834,0.519240702
2,13,5,100,30,7.118798566,1.574282293,0.031789228,0.18216535937795947,0.066482241,0.46899700939033095,-0.504028112,-0.23557412,0.44113983446760835,-0.551347782,0.17580946704284012
2,13,5,100,35,7.118798566,1.574282293,0.092958705,0.1427899244382308,0.076351342,1.1070852631160626,-0.791903555,-0.064472067,1.086207245692354,-0.673300347,0.472996965
2,21,10,1,20,7.0140624,1.684320471,0.007175929,0.3526436622082547,0.055447235,-0.416094196,0.27676315372093807,-0.426889618,-0.646476234,-0.108130637,-0.048406754
2,21,10,1,25,7.0140624,1.684320471,0.013259120004129285,0.2663924803393001,0.063476986,-0.050999809,-0.054785306,-0.287676668,-0.15897846,-0.250349166,0.020283482140447055
2,21,10,1,30,7.0140624,1.684320471,0.011037215,0.22565591414647715,0.070231472,-0.160068346,-0.250956611,-0.170573157,-0.047621149,-0.270000164,-0.206224236
